source_id,source_name,source_type,source_url,access_method,retrieval_date,license_or_usage_notes,update_frequency,fields_extracted,known_limitations,parsing_confidence
propublica-nonprofit-explorer-api-v2,ProPublica Nonprofit Explorer API v2 documentation,documentation,https://projects.propublica.org/nonprofits/api/,public web page over HTTPS,2026-06-12,Publicly accessible; users must review current ProPublica terms before reuse or redistribution.,Documentation and upstream data update on provider schedule,API semantics and endpoint structure,Third-party interface to IRS-derived data; documentation may change.,not_applicable
propublica-org-813422012,ProPublica organization and filing record for Civil Rights Corps,IRS-derived exempt-organization and Form 990 API record,https://projects.propublica.org/nonprofits/api/v2/organizations/813422012.json,public JSON API over HTTPS,2026-06-12,Publicly accessible API; review ProPublica terms and IRS source notices before redistribution.,Provider-updated as IRS records and filing extracts become available,IRS exempt-organization identity fields; selected Form 990 financial fields,API fields may lag filings; not all Form 990 lines are exposed; values have not been interpreted as evidence of impact.,high
propublica-org-631135091,ProPublica organization and filing record for Equal Justice Initiative,IRS-derived exempt-organization and Form 990 API record,https://projects.propublica.org/nonprofits/api/v2/organizations/631135091.json,public JSON API over HTTPS,2026-06-12,Publicly accessible API; review ProPublica terms and IRS source notices before redistribution.,Provider-updated as IRS records and filing extracts become available,IRS exempt-organization identity fields; selected Form 990 financial fields,API fields may lag filings; not all Form 990 lines are exposed; values have not been interpreted as evidence of impact.,high
propublica-org-920642786,ProPublica organization and filing record for Fines And Fees Justice Center Inc,IRS-derived exempt-organization and Form 990 API record,https://projects.propublica.org/nonprofits/api/v2/organizations/920642786.json,public JSON API over HTTPS,2026-06-12,Publicly accessible API; review ProPublica terms and IRS source notices before redistribution.,Provider-updated as IRS records and filing extracts become available,IRS exempt-organization identity fields; selected Form 990 financial fields,API fields may lag filings; not all Form 990 lines are exposed; values have not been interpreted as evidence of impact.,high
propublica-org-320077563,ProPublica organization and filing record for Innocence Project Inc,IRS-derived exempt-organization and Form 990 API record,https://projects.propublica.org/nonprofits/api/v2/organizations/320077563.json,public JSON API over HTTPS,2026-06-12,Publicly accessible API; review ProPublica terms and IRS source notices before redistribution.,Provider-updated as IRS records and filing extracts become available,IRS exempt-organization identity fields; selected Form 990 financial fields,API fields may lag filings; not all Form 990 lines are exposed; values have not been interpreted as evidence of impact.,high
propublica-org-452119421,ProPublica organization and filing record for Measures For Justice Institute,IRS-derived exempt-organization and Form 990 API record,https://projects.propublica.org/nonprofits/api/v2/organizations/452119421.json,public JSON API over HTTPS,2026-06-12,Publicly accessible API; review ProPublica terms and IRS source notices before redistribution.,Provider-updated as IRS records and filing extracts become available,IRS exempt-organization identity fields; selected Form 990 financial fields,API fields may lag filings; not all Form 990 lines are exposed; values have not been interpreted as evidence of impact.,high
propublica-org-203671130,ProPublica organization and filing record for Prison Policy Initiative Inc,IRS-derived exempt-organization and Form 990 API record,https://projects.propublica.org/nonprofits/api/v2/organizations/203671130.json,public JSON API over HTTPS,2026-06-12,Publicly accessible API; review ProPublica terms and IRS source notices before redistribution.,Provider-updated as IRS records and filing extracts become available,IRS exempt-organization identity fields; selected Form 990 financial fields,API fields may lag filings; not all Form 990 lines are exposed; values have not been interpreted as evidence of impact.,high
propublica-org-621025326,ProPublica organization and filing record for Southern Center For Human Rights,IRS-derived exempt-organization and Form 990 API record,https://projects.propublica.org/nonprofits/api/v2/organizations/621025326.json,public JSON API over HTTPS,2026-06-12,Publicly accessible API; review ProPublica terms and IRS source notices before redistribution.,Provider-updated as IRS records and filing extracts become available,IRS exempt-organization identity fields; selected Form 990 financial fields,API fields may lag filings; not all Form 990 lines are exposed; values have not been interpreted as evidence of impact.,high
propublica-org-383740913,ProPublica organization and filing record for Texas Fair Defense Project,IRS-derived exempt-organization and Form 990 API record,https://projects.propublica.org/nonprofits/api/v2/organizations/383740913.json,public JSON API over HTTPS,2026-06-12,Publicly accessible API; review ProPublica terms and IRS source notices before redistribution.,Provider-updated as IRS records and filing extracts become available,IRS exempt-organization identity fields; selected Form 990 financial fields,API fields may lag filings; not all Form 990 lines are exposed; values have not been interpreted as evidence of impact.,high
propublica-org-521472546,ProPublica organization and filing record for The Sentencing Project,IRS-derived exempt-organization and Form 990 API record,https://projects.propublica.org/nonprofits/api/v2/organizations/521472546.json,public JSON API over HTTPS,2026-06-12,Publicly accessible API; review ProPublica terms and IRS source notices before redistribution.,Provider-updated as IRS records and filing extracts become available,IRS exempt-organization identity fields; selected Form 990 financial fields,API fields may lag filings; not all Form 990 lines are exposed; values have not been interpreted as evidence of impact.,high
propublica-org-131941627,ProPublica organization and filing record for Vera Institute Of Justice Inc,IRS-derived exempt-organization and Form 990 API record,https://projects.propublica.org/nonprofits/api/v2/organizations/131941627.json,public JSON API over HTTPS,2026-06-12,Publicly accessible API; review ProPublica terms and IRS source notices before redistribution.,Provider-updated as IRS records and filing extracts become available,IRS exempt-organization identity fields; selected Form 990 financial fields,API fields may lag filings; not all Form 990 lines are exposed; values have not been interpreted as evidence of impact.,high
